Rang,Pseudo,Score,Mode,Genre,Date,Titres corrects,Artistes corrects,Total morceaux,Indices utilisés,Taux réussite (%)
1,dazdaz,26,Solo,Mixed,2025-12-19 14:06:11,0,0,0,0,0,00
2,dazdaz,26,Duel,Pop,2025-12-19 14:06:11,15,18,10,17,165,00
3,Jaki2,25,Solo,Mixed,2025-12-19 21:52:31,0,0,0,0,0,00
4,Jaki2,25,Solo,Hip-Hop/Rap,2025-12-19 21:52:31,9,10,10,50,95,00
5,dadaz,24,Solo,Mixed,2025-12-19 14:06:11,0,0,0,0,0,00
6,dadaz,24,Duel,Pop,2025-12-19 14:06:11,15,18,10,17,165,00
7,fsdf,22,Solo,Mixed,2025-12-19 14:01:45,0,0,0,0,0,00
8,fsdf,22,Solo,Hip-Hop/Rap,2025-12-19 14:01:45,9,9,10,47,90,00
9,malass,19,Solo,Mixed,2025-12-21 23:36:27,0,0,0,0,0,00
10,malass,19,Solo,Hip-Hop/Rap,2025-12-21 23:36:27,7,8,10,55,75,00
11,test,17,Solo,Mixed,2025-12-19 11:43:35,0,0,0,0,0,00
12,test,17,Solo,Hip-Hop,2025-12-19 11:43:35,6,6,6,96,100,00
13,gfsdgsd,15,Solo,Mixed,2025-12-19 12:41:00,0,0,0,0,0,00
14,gfsdgsd,15,Solo,Hip-Hop/Rap,2025-12-19 12:41:00,5,5,6,83,83,33
15,leo test,13,Solo,Mixed,2025-12-27 11:15:45,0,0,0,0,0,00
16,leo test,13,Solo,Rock,2025-12-27 11:15:45,4,4,5,0,80,00
17,dsq,11,Solo,Mixed,2025-12-19 12:34:31,0,0,0,0,0,00
18,dsq,11,Solo,Hip-Hop/Rap,2025-12-19 12:34:31,3,4,6,81,58,33
19,okkk,10,Solo,Mixed,2025-12-19 19:56:46,0,0,0,0,0,00
20,okkk,10,Solo,Hip-Hop/Rap,2025-12-19 19:56:46,4,4,5,0,80,00
21,hgf,10,Solo,Mixed,2025-12-19 12:42:49,0,0,0,0,0,00
22,hgf,10,Solo,Hip-Hop/Rap,2025-12-19 12:42:49,3,4,10,155,35,00
23,Joueur 1,9,,,2025-12-03 14:39:00,0,0,0,0,0,00
24,Jaki,8,Solo,Mixed,2025-12-19 21:49:17,0,0,0,0,0,00
25,Jaki,8,Solo,Tout Genre,2025-12-19 21:49:17,2,5,10,88,35,00
26,leo,7,Solo,Mixed,2025-12-27 11:00:36,0,0,0,0,0,00
27,leo,7,Solo,Hip-Hop/Rap,2025-12-27 11:00:36,4,2,5,8,60,00
28,Dinero,7,Solo,Mixed,2025-12-21 23:48:53,0,0,0,0,0,00
29,Malass,7,Solo,Mixed,2025-12-21 23:48:53,0,0,0,0,0,00
30,Dinero,7,Duel,Hip-Hop/Rap,2025-12-21 23:48:53,5,9,5,51,140,00
31,Malass,7,Duel,Hip-Hop/Rap,2025-12-21 23:48:53,5,9,5,51,140,00
32,da,7,Solo,Mixed,2025-12-15 09:03:06,0,0,0,0,0,00
33,oui,4,Solo,r&b,2025-12-15 08:42:33,0,0,10,0,0,00
34,oui,4,Solo,Mixed,2025-12-15 08:42:33,0,0,0,0,0,00
35,Joueur 1,4,,,2025-12-03 14:34:21,0,0,0,0,0,00
36,sdfsf,3,Solo,Mixed,2025-12-19 19:57:55,0,0,0,0,0,00
37,sdfsf,3,Solo,Hip-Hop/Rap,2025-12-19 19:57:55,1,1,5,0,20,00
